index,Date,Name,Sex,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
33,8/23/92,Adolfo Isuiza Urquia,Male,Peru,Radio Tropical,Peru,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,Yes,Yes,Yes,,,,,,,,,
34,9/1/92,Arcadi Ruderman,,Tajikistan,Channel 1,,,,,,,,,,,,,,,,,,,,,
35,9/19/92,Georg Friderich Pfuhl,Male,Bosnia,FADMST,Germany,Print,Print Reporter,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
36,9/20/92,Musa Anter,Male,Turkey,Ozgur Gundem,Turkey,Print,Columnist,"Corruption, Human Rights",Yes,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
37,9/21/92,Greg Hapalla,Male,Philippines,DXAS,Philippines,Radio,Columnist,,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
38,10/4/92,Alboh Madjigoto,,Chad,Radiodiffusion Nationale Tchadienne,,,,,,,,,,,,,,,,,,,,,
39,10/20/92,Fernando Marcelino,Male,Angola,Jango,Angola,Print,Print Reporter,Politics,Yes,Local,Military Officials,Murder,Yes,No,No,No,,,,,,,,,
40,10/27/92,Helge Hummelvoll,,Sudan,Freelancer,,,,,,,,,,,,,,,,,,,,,
41,11/1/92,Tihomir Tunukovic,Male,Bosnia,BBC TV,Bosnia-Herzegovina,Television,Camera Operator,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
42,11/10/92,Yasar Aktay,,Turkey,Freelancer,,,,,,,,,,,,,,,,,,,,,
43,11/17/92,Tavakkal Faizulloev,Male,Tajikistan,Subhi Yovon,Tajikistan,Print,Print Reporter,"Culture, Politics",No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
44,11/20/92,Namik Taranci,Male,Turkey,Gercek,Turkey,Print,Print Reporter,"Corruption, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
45,11/28/92,Declaud Djerabe,,Chad,Tele-Chad,Chad,,,,,,,,,,,,,,,,,,,,
46,12/27/92,Youcef Sebti,Male,Algeria,Freelancer,Algeria,Print,Print Reporter,"Corruption, Human Rights, Politics",Yes,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
47,12/30/92,Gloria Martin,,Philippines,DXXX,,,,,,,,,,,,,,,,,,,,,
48,Jan-93,Saidmurod Yerov,Male,Tajikistan,Farkhang,Tajikistan,Print,"Editor, Publisher",,No,Local,Paramilitary Group,Murder,Yes,Yes,No,Yes,,,,,,,,,
49,1/1/93,Francisco Parada,Male,El Salvador,,El Salvador,"Radio, Television",Publisher,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
50,1/10/93,Karmela Sojanovic,Female,Bosnia,Oslobodjenje,Bosnia-Herzegovina,Print,Print Reporter,War,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
51,1/11/93,Romeo Lagaspi,Male,Philippines,Voice of Zambales,Philippines,Print,Publisher,Corruption,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
52,1/27/93,Ugur Mumcu,Male,Turkey,Cumhuriyet,Turkey,Print,Print Reporter,"Crime, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,No,,,,,,,,,
53,1/30/93,Milos Vulovic,,Bosnia,Serbian Radio,,,,,,,,,,,,,,,,,,,,,
54,1/30/93,Zivko Filipovic,,Bosnia,Srpsko Slovo,,,,,,,,,,,,,,,,,,,,,
55,1/31/93,Bhola Nath Masoom,Male,India,Hind Samachar,India,Print,Print Reporter,"Business, Culture, Politics",Yes,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
56,2/2/93,Zeljko Ruzicic,,Bosnia,Muslim Radio,,,,,,,,,,,,,,,,,,,,,
57,2/25/93,Kemal Kilic,Male,Turkey,Ozgur Gundem,Turkey,Print,Print Reporter,Human Rights,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
58,3/1/93,Zukhuruddin Suyari,Male,Tajikistan,Todzhikiston,Tajikistan,Print,Print Reporter,"Business, Culture",No,Local,Paramilitary Group,Murder,Yes,No,No,No,,,,,,,,,
59,4/6/93,Callixte Kalissa,,Rwanda,Television Rwandaise,,,,,,,,,,,,,,,,,,,,,
60,4/14/93,Dmitry Krikoryants,Male,Russia,Expresskhronika,Russia,Print,Print Reporter,Corruption,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
61,4/19/93,Carlos Lajud Catalan,Male,Colombia,ABC Radio,Colombia,Radio,Broadcast,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
62,4/23/93,Calvin Thusago,Male,South Africa,South African Broadcasting Corporation (SABC),South Africa,Television,Broadcast,Human Rights,No,Local,Mob Violence,Murder,No,No,No,No,,,,,,,,,
63,4/26/93,Carlos Grant,Male,Honduras,El Tiempo,Honduras,Print,Print Reporter,"Business, Crime",No,Local,Local Residents,Murder,Partial,No,No,No,,,,,,,,,
64,5/1/93,Jose Manuel,Male,Angola,Benguela Province Radio,Angola,Radio,Broadcast,War,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
65,5/1/93,Jose Maria dos Santos,Male,Angola,Radio Morena,Angola,Radio,Broadcast,War,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
66,5/22/93,Dinesh Pathak,Male,India,Sandesh,India,Print,Editor,"Corruption, Politics",No,Local,Political Group,Murder,Partial,No,Yes,No,,,,,,,,,
67,5/28/93,Pirimkul Sattori,Male,Tajikistan,Khatlon,Tajikistan,Print,Print Reporter,Politics,No,Local,Military Officials,Murder,Yes,Yes,No,No,,,,,,,,,
68,5/29/93,Guido Puletti,Male,Bosnia,Freelancer,Italy,Print,Print Reporter,"Human Rights, War",Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
69,6/1/93,Saidjonol Fakhriddinov,,Tajikistan,Navidi Vakhsh,,,,,,,,,,,,,,,,,,,,,
70,6/2/93,Dominique Lonneux,Male,Bosnia,Freelancer,Belgium,Television,Camera Operator,War,Yes,Foreign,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
71,6/2/93,Tahar Djaout,Male,Algeria,Ruptures,Algeria,Print,"Editor, Publisher","Corruption, Politics",No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
72,6/10/93,Ranko Elez,,Bosnia,Radio Foca,,,,,,,,,,,,,,,,,,,,,
73,6/18/93,Jean-Claude Jumel,Male,Somalia,TF-1,France,Television,Technician,War,No,Foreign,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
74,6/27/93,Tasar Omer,Male,Bosnia,Freelance,Turkey,Print,Print Reporter,War,Yes,Foreign,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
75,7/1/93,Sharif Ahrorov,,Tajikistan,Local newspaper in Kuibishev District,,,,,,,,,,,,,,,,,,,,,
76,7/10/93,Ibrahim Goskel,Male,Bosnia,Freelancer,United Kingdom,Print,Print Reporter,War,Yes,Foreign,Unknown Fire,Dangerous Assignment,,No,No,No,,,,,,,,,
77,7/12/93,Anthony Macharia,Male,Somalia,Reuters,Kenya,Television,Technician,War,No,Foreign,Mob Violence,Murder,Yes,No,No,No,,,,,,,,,
78,7/12/93,Hansi Krauss,Male,Somalia,Associated Press,Germany,Print,Photographer,War,No,Foreign,Mob Violence,Murder,Yes,No,No,No,,,,,,,,,
79,7/12/93,Dan Eldon,Male,Somalia,Reuters,United States,Print,Photographer,War,No,Foreign,Mob Violence,Murder,Yes,No,No,No,,,,,,,,,
80,7/12/93,Hosea Maina,Male,Somalia,Reuters,Kenya,Print,Photographer,War,No,Foreign,Mob Violence,Murder,Yes,No,No,No,,,,,,,,,
81,7/26/93,Ahmed Haidar,Male,Lebanon,Al-Manar Television,Lebanon,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
82,7/28/93,Ferhat Tepe,Male,Turkey,Ozgur Gundem,Turkey,Print,Print Reporter,,No,Local,Political Group,Murder,Yes,Yes,Yes,No,,,,,,,,,
83,8/3/93,Rabah Zenati,Male,Algeria,Algerian State Television,Algeria,Television,Broadcast,Politics,No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
84,8/7/93,Aysel Malkac,Female,Turkey,Ozgur Gundem,Turkey,Print,Print Reporter,"Culture, Human Rights, Politics",No,Local,Government Officials,Murder,Yes,Yes,No,No,,,,,,,,,
85,8/9/93,Abdelhamid Benmeni,Male,Algeria,Alg_rie-Actualit_,Algeria,Print,Print Reporter,War,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
86,8/23/93,Elpidio Inacio,Male,Angola,Televisao Popular de Angola,Angola,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
87,Sep-93,Emma Podobed,,Tajikistan,Narodnaya Gazeta,,,,,,,,,,,,,,,,,,,,,
88,9/10/93,Saad Bakhtaoui,Male,Algeria,El-Minbar,Algeria,Print,Print Reporter,Politics,No,Local,Unknown Fire,Murder,Yes,Yes,No,No,,,,,,,,,
89,9/22/93,Alexandra Tuttle,Female,Georgia,The Wall Street Journal,United States,Print,Print Reporter,"Business, Culture, Politics",No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
90,9/27/93,Andrei Soloviev,Male,Georgia,ITAR-TASS,Russia,Print,Photographer,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
91,9/28/93,Abderrahmane Chergou,Male,Algeria,Freelance,Algeria,Print,Print Reporter,Politics,Yes,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
92,9/30/93,Bienvenido Lemos,Male,Colombia,Caracol Radio,Colombia,Radio,Broadcast,,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
93,10/1/93,Kishvaroy Sharifova,,Tajikistan,Navidi Vakhsh,Tajikistan,,,,,,,,,,,,,,,,,,,,
94,10/3/93,Sergei Krasilnikov,Male,Russia,Ostankino Television Company,Russia,Television,Technician,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
95,10/3/93,Yvan Scopan,Male,Russia,TF-1 Television Company,Russia,Television,Camera Operator,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
96,10/3/93,Vladimir Drobyshev,Male,Russia,Nature and Man,Russia,Print,Print Reporter,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
97,10/3/93,Igor Belozyorov,Male,Russia,Ostankino State Broadcasting Company,Russia,Television,Producer,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
98,10/3/93,Rory Peck,Male,Russia,ARD Television Company,Ireland; United Kingdom,Television,Camera Operator,Politics,No,Foreign,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
99,10/4/93,Aleksandr Smirnov,Male,Russia,Molodyozhny Kuryer,Russia,Print,Print Reporter,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
100,10/4/93,Aleksandr Sidelnikov,Male,Russia,Lennauchfilm Studio,Russia,Television,Camera Operator,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
101,10/5/93,Djamel Bouhidel,Male,Algeria,Nouveau Tell,Algeria,Print,Photographer,War,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
102,10/12/93,Vitas Lingis,Male,Lithuania,Republica,Lithuania,Print,"Editor, Print Reporter","Corruption, Crime",No,Local,Criminal Group,Murder,No,No,No,No,,,,,,,,,
103,10/14/93,Mustafa Abada,Male,Algeria,Algerian State Television,Algeria,Television,Producer,"Business, Culture, Politics",No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
104,10/18/93,Smail Yefsah,Male,Algeria,Algerian State Television,Algeria,Television,Producer,Human Rights,No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
105,10/21/93,Tabarali Saidaliev,Male,Tajikistan,Ba Pesh,Tajikistan,Print,Editor,"Business, Crime, Human Rights, Politics",No,Local,Government Officials,Murder,Yes,Yes,No,No,,,,,,,,,
106,10/24/93,Dona St. Plite,Male,USA,"WKAT, Miami",Haiti,Radio,"Broadcast, Columnist","Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,No,,,,,,,,,
107,10/28/93,David Bolkvadze,Male,Georgia,Worldwide Television News,Georgia,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
108,11/4/93,Laurent Bisset,,Republic of Congo,Radio Congo,Republic of Congo,,,,,,,,,,,,,,,,,,,,
109,11/15/93,Mario Bonino,,Argentina, Union de Trabajadores,Argentina,,,,,,,,,,,,,,,,,,,,
110,11/22/93,Ding Sade,,Philippines,Cotabato News,Philippines,,,,,,,,,,,,,,,,,,,,
111,11/22/93,Rosauro Lao,,Philippines,Cotabato News,Philippines,,,,,,,,,,,,,,,,,,,,
112,1/9/94,Abdul Shariff,Male,South Africa,freelance,South Africa,Print,Photographer,"Human Rights, Politics",Yes,Local,Paramilitary Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
113,1/28/94,Alessandro Otta,Male,Bosnia,RAI-TV,Italy,Television,Broadcast,War,No,Foreign,Paramilitary Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
114,1/28/94,Marco Luchetta,Male,Bosnia,RAI-TV,Italy,Television,Broadcast,War,No,Foreign,Paramilitary Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
115,1/28/94,Dario D'Angelo,Male,Bosnia,RAI-TV,Italy,Television,Broadcast,War,No,Foreign,Paramilitary Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
116,1/28/94,Jess_ Medina Parra,Male,Colombia,El Fogonazo,Colombia,Radio,Columnist,Corruption,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
117,2/1/94,Olivier Quemener,Male,Algeria,Freelancer,France,Television,Camera Operator,War,Yes,Foreign,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
118,2/1/94,Sergei Dubov,,Russia,"Vsyo Dlya Vas, International and Moscow Business Week",,,,,,,,,,,,,,,,,,,,,
119,2/19/94,Joao Alberto Ferreira Souto,Male,Brazil,Jornal do Estado,Brazil,Print,Publisher,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
120,2/28/94,Abdelkader Hireche,Male,Algeria,Algerian Television (ENTV),Algeria,Television,Broadcast,Politics,No,Foreign,Unknown Fire,Murder,Partial,No,No,No,,,,,,,,,
121,3/1/94,Alexander Chulanov,,Belarus,Belarus National Television,,,,,,,,,,,,,,,,,,,,,
122,3/1/94,Mohamed Hassaine,,Algeria,Alger R_publicain,,,,,,,,,,,,,,,,,,,,,
123,3/12/94,Nazim Babaoglu,Male,Turkey,Ozgur Gundem,Turkey,Print,Print Reporter,"Culture, Politics",No,Local,Unknown Fire,Unknown,,No,No,No,,,,,,,,,
124,3/12/94,Hassan Benaouda,Male,Algeria,Algerian Television (ENTV),Algeria,Television,Broadcast,War,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
125,3/19/94,Yahia Djamel Benzaghou,Male,Algeria,"El Moudjahid, Algerian Press Service",Algeria,Print,"Editor, Print Reporter",Politics,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
126,3/20/94,Ilaria Alpi,Male,Somalia,RAI-3 Television,Italy,Television,Broadcast,,No,Foreign,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
127,3/20/94,Madjid Yacef,Male,Algeria,L'Hebdo Lib_r_,Algeria,Print,Photographer,"Corruption, Politics",No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
128,3/20/94,Miran Krovatin,Male,Somalia,RAI-3 Television,Slovakia,Television,Camera Operator,,No,Foreign,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
129,4/3/94,Lissy Schmidt,Female,Iraq,"Agence France-Presse, Frankfurter Rundschau, Der Tagesspiegel",Germany,Print,Print Reporter,War,Yes,Foreign,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
130,4/7/94,Eud_s Nshimiryo,Male,Rwanda,TV Rwanda,Rwanda,Television,Producer,Politics,No,Local,Military Officials,Murder,Yes,No,No,No,,,,,,,,,
131,4/7/94,Aloys Nyimbuzi,Male,Rwanda,L'Observateur,Rwanda,Print,Print Reporter,Politics,No,Local,Paramilitary Group,Murder,Yes,No,No,No,,,,,,,,,
132,4/7/94,Winifrida Mukamana,Female,Rwanda,Reba Videwo,Rwanda,Television,Editor,"Culture, Politics",No,Local,Military Officials,Murder,Yes,No,No,No,,,,,,,,,
133,4/8/94,Gilbert Munana,Male,Rwanda,Le Flambeau,Rwanda,Print,Print Reporter,Politics,No,Local,Paramilitary Group,Murder,Yes,No,No,No,,,,,,,,,
134,4/8/94,Radoslava Dada Vujasinovic,,Serbia,Duga,Serbia,,,,,,,,,,,,,,,,,,,,
135,4/9/94,Gratien Karambizi,Male,Rwanda,Imbaga,Rwanda,Print,Print Reporter,Politics,No,Local,Paramilitary Group,Murder,Yes,No,Yes,No,,,,,,,,,
136,4/11/94,Obed Bazimaziki,Male,Rwanda,Le Flambeau,Rwanda,Print,Print Reporter,"Human Rights, Politics",No,Local,Paramilitary Group,Murder,Yes,No,No,No,,,,,,,,,
137,4/11/94,Charles Bideri-Munyangabe,Male,Rwanda,Le Messager,Rwanda,Print,Print Reporter,"Human Rights, Politics",No,Local,Paramilitary Group,Murder,Yes,No,No,No,,,,,,,,,
138,4/13/94,Mohamed Meceffeuk,Male,Algeria,D_tective,Algeria,Print,Print Reporter,"Politics, War",No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
139,4/18/94,Ken Oosterbroek,Male,South Africa,The Star,South Africa,Print,Photographer,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
140,4/22/94,Marcellin Kayiranga,Male,Rwanda,Kanguka,Rwanda,Print,Editor,Politics,No,Local,Paramilitary Group,Murder,Yes,No,Yes,No,,,,,,,,,
141,4/24/94,Charles Karinganire,Male,Rwanda,Le Flambeau,Rwanda,Print,Print Reporter,"Human Rights, Politics",No,Local,Paramilitary Group,Murder,Yes,No,Yes,Yes,,,,,,,,,
142,4/24/94,Emmanuel-Damien Rukondo,Male,Rwanda,Rubyiruko-Rubanda,Rwanda,Print,Print Reporter,"Human Rights, Politics",Yes,Local,Paramilitary Group,Murder,Yes,Yes,No,Yes,,,,,,,,,
143,4/26/94,Andrei Aizderdzis,,Russia,Who's Who,,,,,,,,,,,,,,,,,,,,,
144,4/29/94,Anastase Seruvumba,Male,Rwanda,Imbaga,Rwanda,Print,Print Reporter,,No,Local,Paramilitary Group,Murder,Yes,No,Yes,No,,,,,,,,,
145,5/1/94,Francis Tomasic,Male,Bosnia,freelance,Bosnia-Herzegovina,Print,Print Reporter,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
146,5/1/94,Brian Brinton,Male,Bosnia,freelance,United States,Print,Photographer,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
147,5/10/94,V_nant Ntawucikayenda,Male,Rwanda,TV Rwanda,Rwanda,Television,Camera Operator,,No,Local,Paramilitary Group,Murder,Yes,No,No,No,,,,,,,,,
148,5/16/94,Olim Abdulov,,Tajikistan,Tajikistan State Television,,,,,,,,,,,,,,,,,,,,,
149,5/18/94,Khushvakht Haydarsho,Male,Tajikistan,Jumhuriyat,Tajikistan,Print,Columnist,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
150,6/1/94,Vincent Shabakaka,,Rwanda,Kiberinka,,,,,,,,,,,,,,,,,,,,,
151,6/1/94,Alfonse Rutsindura,,Rwanda,Amakuruki I Butare,,,,,,,,,,,,,,,,,,,,,
152,6/1/94,Ignace Ruhatana,,Rwanda,Kanyarwanda,,,,,,,,,,,,,,,,,,,,,
153,6/1/94,Jeanne d'Arc Mukamusoni,,Rwanda,Le Soleil,,,,,,,,,,,,,,,,,,,,,
154,6/1/94,Th_otime Kamanayo,,Rwanda,Kiberinka,,,,,,,,,,,,,,,,,,,,,
155,6/4/94,Andr_ Kameya,Male,Rwanda,Rwanda Rushya,Rwanda,Print,Editor,Politics,No,Local,Paramilitary Group,Murder,Partial,No,Yes,No,,,,,,,,,
156,6/7/94,Ferhat Cherkit,Male,Algeria,El Moudjahid,Algeria,Print,Editor,War,No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
157,6/8/94,Pierre Kabeya,Male,Democratic Republic of the Congo,Kin-Matin,Zaire,Print,Print Reporter,Human Rights,No,Local,Military Officials,Murder,Yes,No,No,No,,,,,,,,,
158,6/11/94,Tou Chhom Mongkol,Male,Cambodia,Antarakum,Cambodia,Print,Editor,Corruption,No,Local,Government Officials,Murder,Yes,Yes,No,No,,,,,,,,,
159,6/12/94,Yuri Soltis,Male,Russia,Interfax,Russia,Print,Print Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,No,No,,,,,,,,,
